Dish ID,Predicted Ingredients,Precision,Recall,Ingredients num Predicted
dish_1558379391,"['Whole raw almonds', 'Red/purple seedless grapes', 'Cantaloupe chunks', 'Cooked meatballs (appears to be beef/pork variety)', 'Served on a red plate']",,,
dish_1558381206,"['Raw almonds', 'Red and green grapes', 'Baby spinach leaves', 'Shredded carrots', 'What appears to be sliced sausage or cooked meat medallions', 'Everything is served on a bright red plate']",,,
dish_1558382263,"['Baby spinach leaves', 'Cherry tomatoes', 'Diced chicken breast', 'Fresh broccoli florets', 'Green beans', 'Avocado slices', 'Mixed salad greens (appears to include red leaf lettuce)', 'What appears to be kalamata olives']",,,
dish_1558457665,"['Cantaloupe (cubed)', 'Roasted/sautéed cauliflower', 'Potatoes (appears to be roasted)', 'Mushrooms (appears to be button or cremini variety)']",,,
dish_1558459115,"['Pink Lady or Gala Apple', 'Cherry Tomatoes', 'Red and Green Grapes', 'Whole Cashews', 'White Rice (appears to be long-grain)']",,,
dish_1558459664,"['White long-grain rice (appears to be Jasmine or Basmati)', 'Raw almonds', 'Cherry tomatoes (mixed red and yellow varieties)', 'Red grape tomatoes', 'Butter lettuce leaves', 'Cherry grape tomatoes (orange variety)']",,,
dish_1558460908,"['Raw almonds', 'Honey Crisp or Pink Lady apple', 'Cherry tomatoes (mix of red and orange varieties)', 'Baby spinach leaves', 'Red grape tomatoes']",,,
dish_1558461792,"['Cherry tomatoes (red variety)', 'Fresh baby spinach leaves', 'Raw almonds', 'Red/purple grape tomatoes', 'Yellow grape tomatoes']",,,
dish_1558463113,"['Baby spinach leaves', 'Cherry tomatoes (red variety)', 'Red grape tomatoes', 'Crumbled feta cheese']",,,
dish_1558468731,"['Mixed salad greens (including red leaf lettuce)', 'Broccoli florets', 'Avocado slices', 'Whole cooked mushrooms (appear to be button or cremini)', 'Red chard leaves', 'Mixed spring lettuce blend', 'Baby spinach leaves', 'The image shows a simple composed salad in a white bowl, with these clearly identifiable ingredients.']",,,
dish_1558547205,"[' Jasmine rice (white, cooked)', ' Snow peas (fresh, raw)', ' Baby carrots (whole)', ' Potatoes (yellow, roasted or sautéed)']",,,
dish_1558549214,"['White long-grain rice', 'Baby spinach leaves', 'Cherry tomatoes (red)', 'Red and yellow grape tomatoes', 'Roasted or pan-fried potato chunks', 'Baby leaf spinach']",,,
dish_1558628760,"['Bacon (appears to be crispy cooked)', 'Raspberries', 'Blackberries', 'Roasted sweet potato chunks', 'Roasted white potato chunks']",,,
dish_1558629041,"['Fresh strawberries', 'Baby spinach leaves', 'Cooked baby carrots', 'Scrambled eggs']",,,
dish_1558630072,"['Raw cauliflower florets', 'Red seedless grapes', 'Green grape (single)', 'Gala or Fuji apple (appears to be based on coloring pattern)', 'Whole raw almonds']",,,
dish_1558633221,"[' Honeycrisp apple', ' Raw cauliflower florets', ' Cherry tomatoes', ' Baby carrots', ' Corn on the cob (partial/cut piece)']",,,
dish_1558635618,"[' Yellow corn on the cob (cross-section cuts)', ' White cauliflower florets', ' Shredded coconut', ' Red/pink apple (likely Gala or Fuji variety)', ' Red plastic plate']",,,
dish_1558636028,"[' Red and Green Grapes', ' Cantaloupe (chunked)', ' Raw Almonds (whole)', ' Orange/Yellow Citrus Slice (appears to be an orange or tangerine)']",,,
dish_1558636582,"[' Fuji or Gala apple (based on coloring pattern)', ' Cherry tomatoes (Roma variety)', ' Raw almonds (California variety)', ' Fresh cauliflower florets']",,,
dish_1558636980,"[' Gala Apple', ' Cherry Tomatoes', ' Baby Carrots (sliced)', ' Raw Almonds', ' Red/Purple Grapes']",,,
dish_1558637423,"[' Raw almonds', ' Yellow corn on the cob (cross-section)', ' Fresh red cherries', ' Honeycrisp or Gala apple (based on the red-yellow coloring)']",,,
dish_1558637932,"['Honeycrisp or Fuji apple (whole)', 'Yellow corn (cross-section)', 'Raw cauliflower florets', 'Red and green seedless grapes']",,,
dish_1558638292,"['White long-grain rice (appears to be Jasmine or Basmati)', 'Carrots (sliced)', 'Cantaloupe (cut into chunks)', 'Red apple (whole, appears to be Fuji or Gala variety based on coloring)']",,,
dish_1558639012,"['Cauliflower florets', 'Cherry tomatoes (red variety)', 'Red/green apple (likely Gala or Fuji variety)', 'Red/purple grapes (appears to be seedless variety)', 'Corn on the cob cross-section (yellow sweet corn)']",,,
dish_1558639195,"[' Corn on the cob (cross-section cuts)', ' Red/green grapes', ' Sliced carrots', ' Red apple (likely Gala or Fuji variety)']",,,
dish_1558639362,"['Raw cauliflower florets', 'Sliced carrots', 'Fresh corn on the cob (single slice/round)', 'Honeycrisp or Fuji apple (appears to be one variety based on coloring)']",,,
dish_1558639555,"['Fresh apple (appears to be a Fuji or Gala variety)', 'Cantaloupe (cut in batons)', 'Corn on the cob (cross-section)', 'Carrots (sliced)']",,,
dish_1558641320,"[' Apple (likely Fuji or Gala variety)', ' Cherry or Grape tomatoes', ' Sweet corn (cut crosswise, showing kernels)', ' Baby carrots (machine-cut)', 'The items are arranged on a light blue ceramic plate.']",,,
dish_1558642021,"['Honeycrisp or Pink Lady Apple (1)', 'Sweet Corn, cut crosswise (2 sections)', 'Cherry or Grape Tomatoes (6-7)', 'Cauliflower florets, raw (4-5 pieces)']",,,
dish_1558718088,"[' Yellow Squash (cross-sections)', ' Cantaloupe (chunked)', ' Honeycrisp Apple (whole)', ' Cauliflower (florets)']",,,
dish_1558718906,"[' Yellow Corn on the Cob (cross-sections)', ' Cantaloupe (sliced)', ' Cauliflower (florets)', ' Almonds (whole, natural)']",,,
dish_1558719145,"[' Fuji or Gala Apple', ' Cherry Tomatoes', ' Cantaloupe (cut into chunks)', ' Raw Almonds']",,,
dish_1558719514,"['Raw almonds', 'Honeycrisp or Fuji apple', 'Cherry tomatoes', 'Fresh cauliflower florets', 'Cross-section of yellow corn cob', 'Light blue ceramic plate']",,,
dish_1558720236,"[' Sliced carrots', ' Raw cauliflower florets', ' Whole raw almonds', ' Red apple (appears to be a Gala or Fuji variety)', 'Served on a light blue plate.']",,,
dish_1558721434,"['Cauliflower florets', 'Cherry tomatoes', 'Baby carrots', 'Cantaloupe chunks']",,,
dish_1558721636,"['Sliced Carrots', 'Yellow Cherry or Grape Tomatoes (cross-sectioned)', 'Red Cherry or Grape Tomatoes (whole)', 'Cantaloupe chunks']",,,
dish_1558721827,"['Raw almonds (natural, unpasteurized)', 'Fresh cauliflower florets', 'Gala or Fuji apple (based on coloring)', 'Fresh carrot slices']",,,
dish_1558722103,"[' Red apple (appears to be a Gala or Fuji variety)', ' Grape or cherry tomatoes', ' Raw cauliflower florets', ' Whole almonds (natural, unblanched)', ' Raw carrot chunks']",,,
dish_1558722473,"['Raw cauliflower florets', 'Gala apple', 'Cherry tomatoes', 'Baby carrots']",,,
dish_1558722780,"['Cherry tomatoes (red)', 'Yellow heirloom tomato (cross-section)', 'Cantaloupe (cubed)', 'Cauliflower florets', 'Baby carrots']",,,
dish_1558722968,"['Cherry tomatoes', 'Raw almonds', 'Yellow heirloom tomato slices', 'Cauliflower florets']",,,
dish_1558723568,"['Red Delicious Apple', 'Corn on the cob (cross-section)', 'Cauliflower florets', 'Baby carrots', 'Cantaloupe or mango cubes (yellow-orange chunks)', 'Red plastic plate']",,,
dish_1558723742,"['Cauliflower florets', 'Fresh sliced carrots', 'Raw almonds', 'Yellow corn on the cob, cross-sectioned (appears to be sweet corn variety)']",,,
dish_1558723894,"[' Empire or Honeycrisp Apple', ' Fresh Sweet Corn (cross-section)', ' Raw Cauliflower Florets', ' Whole Raw Almonds']",,,
dish_1558724031,"['Cherry tomatoes', 'Cauliflower florets', 'Raw whole almonds', 'Cantaloupe chunks']",,,
dish_1558724959,"[' Brussels sprouts', ' Honeycrisp apple (appears to be, based on coloring and size)', ' Raw almonds', ' Sliced carrots']",,,
dish_1558725829,"[' Brussels sprouts', ' Red apple (appears to be Fuji or Honeycrisp variety)', ' Baby carrots', ' Corn on the cob (cross-section, yellow variety)']",,,
dish_1559062082,"[' Watermelon cubes', ' Scrambled eggs', ' Roasted/fried potatoes', ' Bacon strips (appears to be regular cut bacon, likely pork)']",,,
dish_1559157454,"['Baby arugula', 'Blueberries']",,,
dish_1559157919,"['Baby spinach leaves', 'Arugula (rocket)', 'Blueberries', 'Walnuts (appears toasted)']",,,
dish_1559158263,"['Arugula (Rocket)', 'Mixed Baby Greens', 'Black Olives']",,,
dish_1559172356,"[""I apologize, but I don't see any food or ingredients in this image. The image shows what appears to be a black smartphone in a protective case mounted on a light-colored wooden or plastic surface with some visible screws and wiring. This looks more like a technical setup or mounting system rather than anything food-related.""]",,,
dish_1559233756,"['Fresh strawberries', 'Pineapple chunks', 'Crispy bacon', 'Button mushrooms', 'Roasted potato pieces']",,,
dish_1559235815,"['Plain bagel (appears to be sliced and toasted)', 'Cream cheese (plain variety)', 'Fresh strawberries (sliced)', 'Scrambled eggs']",,,
dish_1559240089,"['Baby carrots (likely Dutch variety based on the uniform shape and bright orange color)', 'Mandarin orange (appears to be Satsuma variety)', 'Pear (likely Anjou variety based on the green coloring and shape)']",,,
dish_1559240510,"[' Cauliflower florets', ' Broccoli florets', ' Sliced carrots', ' Fresh strawberries (halved)', 'Served on a light blue ceramic plate']",,,
dish_1559241099,"[' Mandarin orange (or possibly small orange variety)', "" Green pear (likely Anjou or D'Anjou variety)"", ' Baby carrots (sliced)']",,,
dish_1559243974,"[' Granny Smith apple', ' Raw almonds (whole)', ' Baby carrots (sliced)']",,,
dish_1559244305,"['Garbanzo beans (chickpeas)', 'Red bell peppers', 'Onions (appears to be white or yellow variety)']",,,
dish_1559244417,"['Arugula (Eruca sativa)', 'Pine nuts (visible scattered on leaves)']",,,
dish_1559244546,"['Poached or steamed chicken breast', 'Spinach leaves (appears to be cooked/wilted)', 'Cherry tomatoes (appears golden/yellow variety)', 'Pan drippings/sauce (appears to be a light-colored pan sauce)', 'Rice (appears to be white rice, partially visible)']",,,
dish_1559244649,"['Arugula (Rocket) leaves', 'Chickpeas', 'Cherry tomatoes', 'Red bell peppers', 'Chicken breast', 'Spinach (appears to be wilted/cooked)', 'Meatballs (appears to be beef or lamb)']",,,
dish_1559245697,"[' Baby spinach leaves', ' Shredded carrots (garnish on spinach)', ' Roasted/cooked carrot chunks', ' Asian pear (likely Korean or Japanese variety based on shape and coloring)']",,,
dish_1559246053,"['Fresh strawberries', 'Raw cauliflower florets', 'Mandarin orange', 'Green pear', 'Blueberries', 'Julienned carrots (visible as small orange strips)']",,,
dish_1559320019,"['Bacon strips (appears to be standard pork bacon)', 'Strawberries', 'Raspberries', 'Blackberry (single visible)', 'Pineapple chunks', 'Roasted potato chunks (appears to be yellow/white variety)']",,,
dish_1559332418,"['From what is visible in the image:', 'Rice (appears to be long-grain)', 'Salmon (appears grilled/roasted)', 'Fresh parsley (as garnish)', 'Bell peppers (charred/roasted)', 'Green leafy component (possibly spinach or basil)', 'The image is somewhat blurry, making it challenging to identify more subtle ingredients or seasonings with complete certainty.']",,,
dish_1559332795,"['Fresh baby spinach leaves', 'Pine nuts (toasted)', 'Feta cheese crumbles']",,,
dish_1559332822,"['Brown rice', 'Salmon (appears to be grilled or baked)', 'Yellow squash', 'Green bell pepper', 'Cucumber', 'Baby spinach leaves', 'Fresh parsley (as garnish)']",,,
dish_1559581236,"['Scrambled eggs', 'Baby spinach leaves', 'Shredded carrots', 'Cucumber slices']",,,
dish_1559581333,"['Scrambled eggs', 'Prosciutto or Serrano ham', 'Baby spinach leaves', 'Shredded carrots']",,,
dish_1559581356,"['Scrambled eggs', 'Bacon (appears to be standard cut)', 'Fresh broccoli florets', 'Baby spinach leaves', 'Shredded carrots', 'Mixed salad greens (appears to include lettuce varieties)']",,,
dish_1559581378,"[' Scrambled eggs', ' Breakfast sausage links', ' Bacon strips', ' Fresh broccoli florets', ' Baby spinach leaves', ' Shredded carrots', ' Green leaf lettuce']",,,
dish_1559590005,"['Baby spinach leaves', 'Cherry tomatoes', 'Button mushrooms', 'Pizza slice with melted mozzarella cheese', 'Pizza slice with what appears to be ground meat (likely beef) topping', 'Pizza crust (appears to be traditional wheat-based)', 'Tomato sauce (visible on pizza base)']",,,
dish_1559590031,"['Baby spinach leaves', 'Cherry tomatoes', 'Mixed salad greens (appears to be kale and possibly red leaf lettuce)', 'Lasagna (visible with meat sauce and melted cheese)', 'Mushrooms (appears to be cremini or button variety)', 'Mozzarella cheese (melted on lasagna)', 'Ground meat (visible in lasagna layer)', 'Tomato sauce (in lasagna)', 'Pasta sheets (lasagna noodles)']",,,
dish_1559590202,"['Diced chicken breast', 'Tofu cubes', 'Yellow couscous', 'Green asparagus spears', 'Iceberg lettuce', 'Croutons (visible in salad)', 'Black olives (visible in couscous)', 'Fresh parsley (scattered in couscous)']",,,
dish_1559593646,"['Curly parsley', 'Red chili pepper flakes', 'Possible sesame seeds (small light colored specks visible)']",,,
dish_1559593722,"['Curly Kale', 'Red Bell Pepper (diced)', 'Mixed Salad Greens (appears to include some arugula)', 'Pine Nuts']",,,
dish_1559593746,"['Curly kale', 'Mixed salad greens (appears to include romaine)', 'Yellow potato chunks (likely Yukon Gold based on color)', 'Cherry tomatoes', 'What appears to be nuts or seeds (visible in the salad mixture)']",,,
dish_1559593794,"['Butternut squash (roasted chunks)', 'Kale (appears to be curly variety)', 'Chicken (appears to be roasted)', 'Parsley (fresh)', 'Red bell pepper (diced)', 'Olive oil (visible as dressing/coating)', 'Black pepper (visible on chicken)', 'Mixed salad greens (appears to include baby spinach)']",,,
dish_1559667994,"['Ingredients visible on plate:', 'Scrambled eggs', 'Home-fried potatoes', 'Diced carrots', 'Diced onions', 'Bagel (appears to be whole wheat)', 'Cream cheese', 'Toasted coconut flakes']",,,
dish_1559668016,"['Scrambled eggs', 'Hash browns with onions', 'English muffin', 'Cream cheese or butter (spread on muffin)', 'Honeydew melon (cubed)', 'Bacon pieces (appears to be crumbled on hash browns)']",,,
dish_1559675234,"['Julienned carrots', 'Cherry tomatoes', 'Green bell pepper pieces', 'Pickled gherkins']",,,
dish_1559675268,"['Julienned carrots', 'English cucumber slices', 'Cherry tomatoes', 'Green bell pepper pieces', 'Pickled gherkins/cornichons']",,,
dish_1559678083,"['From what is visible in the image:', 'Red leaf lettuce', 'Green leaf lettuce', 'Boston lettuce', 'The image shows what appears to be a simple mixed lettuce salad consisting of these lettuce varieties. The lighting and image quality make it somewhat difficult to identify if there are any additional ingredients or dressings present.']",,,
dish_1559678104,"['Red leaf lettuce', 'Broccoli florets', 'Celery stalks', 'Mixed baby lettuce leaves (appears to include radicchio)', 'Green leaf lettuce', 'What appears to be a vinaigrette dressing (visible sheen on vegetables)']",,,
dish_1559678127,"['Shiitake mushrooms', 'Broccoli florets', 'Mixed lettuce (appears to be red leaf lettuce)', 'Snow peas', 'Shredded carrots']",,,
dish_1559678146,"['Red leaf lettuce', 'Broccoli florets', 'Medium rare roast beef', 'Carrots (shredded/julienned)', 'Mixed spring greens', 'Red onions', 'White square porcelain plate']",,,
dish_1559678330,"['Baby spinach leaves', 'Sun-dried tomatoes', 'Avocado chunks']",,,
dish_1559678367,"['Broccoli florets', 'Baby spinach leaves', 'Red chili flakes']",,,
dish_1559678405,"['Beef tenderloin (appears medium-rare)', 'Fresh broccoli florets', 'Baby spinach leaves', 'Mixed salad greens', 'What appears to be a balsamic reduction or dark sauce (visible on the meat)']",,,
dish_1559678457,"['Broccoli florets', 'Mixed salad greens (appears to include spinach)', 'Pearled wheat or farro', 'Seared beef (appears to be steak, likely medium-rare)', 'Red bell pepper (visible in salad)']",,,
dish_1559678629,"['White fish fillet (appears to be a mild white fish, possibly cod or halibut)', 'Mixed salad greens', 'Cream-based sauce (appears to be herb-infused)', 'Fresh herbs (appears to be dill or fennel fronds)']",,,
dish_1559678651,"['Romaine lettuce', 'Citrus (appears to be orange segments)', 'White fish fillet (appears herb-crusted)', 'Caesar dressing (visible on lettuce)']",,,
dish_1559700851,"['Watercress', 'Shredded carrots', 'Mixed baby lettuce leaves (appears to include some spring mix varieties)']",,,
dish_1559751801,"['Fingerling or small white potatoes', 'Scrambled eggs', 'Roasted sweet potato chunks', 'Fresh blackberries', 'Fresh raspberries', 'The image quality makes it difficult to be completely certain of the potato variety']",,,
dish_1559838402,"['Fresh strawberries', 'Fresh raspberries', 'Single blackberry', 'Sweet potatoes (cubed)', 'White/yellow potatoes (cubed)', 'What appears to be bacon or prosciutto (crispy)']",,,
dish_1559841091,"['Fresh blackberries', 'Baby potatoes (appears to be yellow/golden variety)', 'Bell peppers (visible red pieces)', 'Root vegetables (appears to be roasted)', 'Carrots (visible orange pieces)']",,,
dish_1559841127,"['Blackberries (appear to be fresh)', 'Small roasted potatoes (likely fingerling or baby variety)', 'Scrambled eggs', 'What appears to be diced carrots mixed into the eggs', 'Possibly sautéed onions mixed into the eggs']",,,
dish_1559841163,"['Fresh broccoli florets', 'Blackberries', 'Small roasted potatoes (appears to be new potatoes)', 'Scrambled eggs', 'What appears to be diced ham or bacon mixed into the eggs', 'Cubed potatoes or bread (visible in top portion of plate)']",,,
dish_1559842409,"['Fresh strawberries', 'Raw broccoli florets', 'Whole raw almonds', 'Mandarin orange/tangerine']",,,
dish_1559843222,"[' Broccoli florets', ' Mandarin/tangerine', ' Red seedless grapes', ' Fresh strawberries (sliced)']",,,
dish_1559843715,"[' Broccoli florets', ' Fresh strawberries, sliced', ' Granny Smith apple', ' Pineapple chunks']",,,
dish_1559844113,"[' Granny Smith Apple', ' Fresh Strawberries', ' Raw Almonds', ' Mandarin Orange/Clementine']",,,
dish_1559845046,"[' Roasted yellow potatoes', ' Steamed broccoli florets', ' Mandarin orange (appears to be a Satsuma variety)', ' Vienna sausages/cocktail wieners']",,,
dish_1559845513,"[' Mandarin orange (or small citrus fruit)', ' Granny Smith apple', ' Fresh strawberries, sliced', ' Roasted or sautéed potato cubes', 'The plate appears to be a square white ceramic serving dish.']",,,
dish_1559846688,"[' Butter lettuce leaves', ' Purple/red radish (sliced)', ' Sour cream or crema', ' Avocado', ' Mixed roasted vegetables (appears to be squash/sweet potato based on the orange color)', ' Taco shell or tortilla (appears to be dark/possibly blue corn variety)']",,,
dish_1559849537,"[' Mandarin/Tangerine', ' Red Seedless Grapes', ' Green Pear (likely Anjou variety)', ' Whole Almonds (Natural, unblanched)']",,,
dish_1559933818,"['Brussels sprouts (roasted/charred)', 'Mixed salad greens (appears to include butter lettuce)', 'Shredded carrots', 'Green leaf lettuce', 'Spinach leaves']",,,
dish_1559933834,"['Ingredients visible:', 'Atlantic salmon (appears grilled/blackened)', 'Brussels sprouts (roasted)', 'Mixed salad greens (appears to include romaine lettuce)', 'Shredded carrots', 'What appears to be shredded cabbage or coleslaw mix', 'Black pepper (visible on salmon)', 'Herbs/seasonings (visible but specific varieties indistinguishable)']",,,
dish_1559934679,"['Ingredients visible on the plate:', 'Iceberg lettuce', 'Carrots', 'Chicken (appears to be thigh meat)', 'Green onions/scallions', 'What appears to be a creamy dressing (possibly ranch or Caesar)', 'Breadcrumbs or crushed croutons', 'Grated parmesan cheese', 'Note: The lighting and image quality make it challenging to identify some ingredients with absolute certainty, but these are the clearly visible components on the plate.']",,,
dish_1559934708,"['Ingredients visible on the plate:', 'White steamed rice', 'Iceberg lettuce', 'Carrots', 'Chicken thighs (appears to be soy or teriyaki glazed)', 'Green onions/scallions', 'Creamy dressing (appears to be mayonnaise-based)', 'Possible garlic pieces', 'Black pepper (visible specks)']",,,
dish_1560356314,"['Baby spinach leaves (raw)', 'Shredded carrots (julienned)', 'Sesame seeds']",,,
dish_1560356337,"['Baby spinach leaves', 'Roasted sweet potato cubes', 'Shredded carrot', 'Appears to be sautéed mushrooms (likely button or cremini variety)', 'All ingredients appear to be served on a square white ceramic plate.']",,,
dish_1560356355,"['Prosciutto (appears to be raw, thinly sliced)', 'Sweet potato (roasted, cubed)', 'Baby spinach leaves', 'Shredded carrots', 'Balsamic vinaigrette (visible sheen on greens)']",,,
dish_1560357832,"['Belgian waffle (appears to be plain/traditional style)', 'Mixed salad greens:', 'Red leaf lettuce', 'Swiss chard (red stems visible)', 'Baby spinach', 'Mixed spring greens/mesclun', 'The greens appear to be dressed but the specific dressing type is not clearly identifiable in the image.']",,,
dish_1560360148,"['Baked potato with sour cream', 'Sausage links (appears to be brown/breakfast variety)', 'Fresh blackberries', 'Fresh raspberries', 'Coleslaw (shredded cabbage and carrots visible with creamy dressing)']",,,
dish_1560366389,"['Arugula (Eruca sativa)', 'Cherry tomato (appears to be one small tomato visible at the edge)']",,,
dish_1560366410,"['Fresh arugula (Eruca sativa)', 'Asparagus spears']",,,
dish_1560366438,"['Arugula (Rocket)', 'Asparagus spears', 'Shiitake mushrooms (appears to be sautéed)', 'Cherry tomato (partially visible)']",,,
dish_1560366460,"[' Arugula/Rocket', ' Asparagus spears', ' Grilled/seared chicken breast', ' Roasted mushrooms (appears to be button or cremini)', ' Cherry tomatoes']",,,
dish_1560367116,"['Cherry tomatoes (appears to be grape variety)', 'Cooked chicken pieces (appears roasted/grilled)', 'Celery chunks', 'Yellow squash or zucchini pieces', 'Lettuce fragments', 'What appears to be crumbled bread or stuffing pieces', 'Carrot pieces', 'Potato chunks (appears boiled/steamed)']",,,
dish_1560367153,"['Asparagus spears', 'Cherry tomatoes', 'Potato wedge', 'Mixed root vegetables (appears to include carrot)', 'Broccoli florets', 'Crumbled protein (appears to be either chicken or fish, partially consumed)', 'Celery pieces']",,,
dish_1560367193,"['Asparagus spears', 'Button mushrooms, sautéed', 'Cherry tomatoes', 'Potato, peeled', 'Carrot (appears to be a small piece)']",,,
dish_1560367258,"['Green asparagus spears', 'Button mushrooms, sautéed', 'Shiitake mushrooms', 'Romaine lettuce hearts', 'Baby carrots', 'White potato wedge']",,,
dish_1560367296,"['Asparagus spears', 'Mixed salad greens (appears to include red leaf lettuce)', 'Button mushrooms (sautéed)', 'Sweet potato (appears roasted)', 'Red potato (appears roasted)', 'Mixed green herbs (visible in the mushroom preparation)', 'The image quality makes it challenging to identify some specific ingredients with absolute certainty, but these are the clearly visible components on the white plate.']",,,
dish_1560367333,"['Ingredients visible on the plate:', 'Green asparagus spears', 'White asparagus spear', 'Crimini or Baby Bella mushrooms', 'Mixed salad greens', 'Red leaf lettuce', 'Black olives', 'Pickled pepperoncini', 'Chicken (appears to be grilled or sautéed pieces)']",,,
dish_1560367676,"['Chicken breast (appears to be pan-seared)', 'Broccoli florets', 'Chives (garnish)', 'White sauce (appears to be pan sauce or butter-based)', 'The image is slightly blurry which makes it difficult to identify additional subtle ingredients or seasonings that may be present on the plate.']",,,
dish_1560367698,"['Steamed white jasmine rice', 'Broccoli florets', 'Green onion/scallion', 'Chicken (appears to be pan-seared or stir-fried)']",,,
dish_1560367715,"['Jasmine white rice', 'Broccoli florets', 'Chicken breast (appears to be pan-seared)', 'Tofu cubes (likely firm or extra-firm variety)']",,,
dish_1560367733,"['Jasmine white rice', 'Broccoli florets', 'Teriyaki-style glazed chicken pieces', 'Sweet potato wedges (appears to be roasted)']",,,
dish_1560367904,"['From what is visible on the white square plate:', ' Chicken thigh meat (appears pan-seared or grilled)', ' Green onion/scallion garnish', 'The plate appears to show minimal plating with a very small portion.']",,,
dish_1560367926,"['Pizza crust', 'Tomato sauce', 'Mozzarella cheese', 'Red bell peppers', 'Fresh jalapeños', 'Black olives', 'Grilled/baked chicken wing (appears to be in a glaze or sauce)']",,,
dish_1560367952,"['Baby spinach leaves', 'Cherry tomatoes (partially visible at edge of plate)', 'The image shows a white square plate with these ingredients, though the lighting and angle make it difficult to identify if there are any other ingredients beneath the prominent spinach leaves.']",,,
dish_1560367980,"['Baby spinach leaves', 'Asparagus spears (green)', 'Fragment of what appears to be pizza (visible sauce and melted cheese at edge of plate)']",,,
dish_1560368019,"['Baby spinach leaves', 'Green asparagus spears', 'Button mushrooms', 'Flatbread or naan base', 'Mozzarella cheese', 'Red bell pepper slices', 'Jalapeño slices', 'Black olives', 'What appears to be teriyaki-glazed chicken pieces', 'Butter lettuce leaves', 'Basil leaves (garnish)']",,,
dish_1560368464,"['Sliced chicken breast (appears to be cooked)', 'Diced honeydew melon (based on the pale green color and cube cut)']",,,
dish_1560368506,"['Turkey breast (appears to be roasted)', 'Honeycrisp or Granny Smith apple (cut into cubes)', 'Caramelized or grilled onions']",,,
dish_1560368570,"['Arugula leaves', 'Grilled or roasted chicken breast', 'Yellow bell pepper, cubed', 'Olive oil (visible as dressing)']",,,
dish_1560368691,"['Arugula (Eruca sativa)', 'Parmesan cheese (visible chunks)']",,,
dish_1560368712,"[' Asparagus spears (green variety)', ' Arugula (Rocket) leaves']",,,
dish_1560368738,"['Asparagus spears', 'Sautéed cremini mushrooms', 'Baby arugula (rocket) leaves']",,,
dish_1560368764,"['Arugula (rocket) leaves', 'Asparagus spears (green)', 'Sautéed mushrooms (appears to be portobello or cremini)', 'Firm tofu (cubed)']",,,
dish_1560368815,"['Mixed salad greens (including red leaf lettuce and green leaf varieties)', 'Sautéed mushrooms (appears to be crimini/brown mushrooms)', 'Tofu cubes', 'Asparagus spears', 'Baby spring mix/mesclun greens']",,,
dish_1560368944,"['From what is visible on the white square plate:', 'Chicken (appears to be cooked pieces)', 'Fresh parsley leaves', 'Oil residue (likely olive oil or cooking oil)', 'The portions appear to be remnants of a larger dish, with just a few bites remaining on the plate.']",,,
